,unique,path,name,metro_name,state,zip,latitude,longitude,type,category
0,BL,1,Franconia-Springfield,Springfield,VA,22150,38.766129,-77.168797,train,train
1,BL,2,Van Dorn Street,Alexandria,VA,22310,38.799193,-77.129407,train,train
2,BL,3,King St-Old Town,Alexandria,VA,22301,38.806474,-77.061115,train,train
3,BL,4,Braddock Road,Alexandria,VA,22301,38.814009,-77.053763,train,train
4,BL,5,Ronald Reagan Washington National Airport,Arlington,VA,22202,38.852985,-77.043805,train,train
5,BL,6,Crystal City,Arlington,VA,22202,38.85779,-77.050589,train,train
6,BL,7,Pentagon City,Arlington,VA,22202,38.863045,-77.059507,train,train
7,BL,8,Pentagon,Arlington,VA,22202,38.869349,-77.054013,train,train
8,BL,9,Arlington Cemetery,Arlington,VA,22211,38.884574,-77.063108,train,train
9,BL,10,Rosslyn,Arlington,VA,22209,38.896595,-77.07146,train,train
10,BL,11,Foggy Bottom-GWU,Washington,DC,20037,38.900599,-77.050273,train,train
11,BL,12,Farragut West,Washington,DC,20006,38.901311,-77.03981,train,train
12,BL,13,McPherson Square,Washington,DC,20005,38.901316,-77.033652,train,train
13,BL,14,Metro Center,Washington,DC,20005,38.898303,-77.028099,train,train
14,BL,15,Federal Triangle,Washington,DC,20004,38.893757,-77.028218,train,train
15,BL,16,Smithsonian,Washington,DC,20004,38.888022,-77.028232,train,train
16,BL,17,L'Enfant Plaza,Washington,DC,20024,38.884775,-77.021964,train,train
17,BL,18,Federal Center SW,Washington,DC,20024,38.884958,-77.01586,train,train
18,BL,19,Capitol South,Washington,DC,20003,38.884968,-77.005137,train,train
19,BL,20,Eastern Market,Washington,DC,20003,38.884124,-76.995334,train,train
20,BL,21,Potomac Ave,Washington,DC,20003,38.880841,-76.985721,train,train
21,BL,22,Stadium-Armory,Washington,DC,20003,38.88594,-76.977485,train,train
22,BL,23,Benning Road,Washington,DC,20019,38.890488,-76.938291,train,train
23,BL,24,Capitol Heights,Capitol Heights,MD,20743,38.889757,-76.913382,train,train
24,BL,25,Addison Road-Seat Pleasant,Capitol Heights,MD,20743,38.886713,-76.893592,train,train
25,BL,26,Morgan Boulevard,Landover,MD,20785,38.8913,-76.8682,train,train
26,BL,27,Largo Town Center,Largo,MD,20774,38.9008,-76.8449,train,train
27,GR,1,Branch Ave,Suitland,MD,20746,38.826995,-76.912134,train,train
28,GR,2,Suitland,Suitland,MD,20746,38.843891,-76.932022,train,train
29,GR,3,Naylor Road,Temple Hills,MD,20748,38.851187,-76.956565,train,train
30,GR,4,Southern Avenue,Temple Hills,MD,20748,38.840974,-76.97536,train,train
31,GR,5,Congress Heights,Washington,DC,20020,38.845334,-76.98817,train,train
32,GR,6,Anacostia,Washington,DC,20020,38.862072,-76.995648,train,train
33,GR,7,Navy Yard-Ballpark,Washington,DC,20003,38.876588,-77.005086,train,train
