,latitude,longitude,name,unique,detail,category,type
0,38.670116,-77.010317,LIVINGSTON RD + INDIAN HEAD HWY,3000037,W19,bus,bus
0,38.670116,-77.010317,LIVINGSTON RD + INDIAN HEAD HWY,3000037,W19v2,bus,bus
1,38.669986,-77.010639,LIVINGSTON RD + INDIAN HEAD HWY,3000038,W19,bus,bus
1,38.669986,-77.010639,LIVINGSTON RD + INDIAN HEAD HWY,3000038,W19v1,bus,bus
1,38.669986,-77.010639,LIVINGSTON RD + INDIAN HEAD HWY,3000038,W19v2,bus,bus
2,38.710322,-76.982112,MADISON DR + MONROE AVE,3000064,W13,bus,bus
3,38.710432,-76.982266,MADISON DR + MONROE AVE,3000065,W13,bus,bus
4,38.710574,-76.98362,MADISON DR + HARRISON AVE,3000066,W13,bus,bus
5,38.710476,-76.983924,MADISON DR + HARRISON AVE,3000067,W13,bus,bus
6,38.711042,-76.984842,MADISON DR + JEFFERSON RD,3000070,W13,bus,bus
7,38.711073,-76.986145,JEFFERSON RD + JACKSON DR,3000071,W13,bus,bus
8,38.711072,-76.986541,JACKSON DR + JEFFERSON RD,3000072,W13,bus,bus
9,38.711151,-76.985159,JEFFERSON RD + MADISON DR,3000073,W13,bus,bus
10,38.71197,-76.981791,MONROE AVE + JEFFERSON RD,3000074,W13,bus,bus
11,38.712077,-76.986301,JACKSON DR + ADAMS DR,3000075,W13,bus,bus
12,38.7121,-76.980744,JEFFERSON RD + CLARION RD,3000076,W13,bus,bus
13,38.712238,-76.981578,JEFFERSON RD + MONROE AVE,3000077,W13,bus,bus
14,38.71234,-76.980564,CLARION RD + JEFFERSON RD,3000078,W13,bus,bus
15,38.712416,-76.986379,JACKSON DR + ADAMS DR,3000079,W13,bus,bus
16,38.71291,-76.980418,CLARION RD + CLARION TER,3000080,W13,bus,bus
17,38.71315,-76.980483,CLARION RD + CLARION TER,3000081,W13,bus,bus
18,38.713194,-76.986204,JACKSON DR + WASHINGTON LN,3000082,W13,bus,bus
19,38.713439,-76.980169,CLARION RD + LIVINGSTON RD,3000083,W13,bus,bus
20,38.713721,-76.986285,OLD FORT RD + OLD FORT RD,3000084,W13,bus,bus
21,38.715551,-76.986094,OLD FORT RD + VAN BUREN DR,3000085,W13,bus,bus
22,38.715553,-76.98599,OLD FORT RD + VAN BUREN DR,3000086,W13,bus,bus
23,38.716392,-77.000124,E TANTALLON DR + ASBURY DR,3000087,P17,bus,bus
