,DistanceToPrev,LineCode,SeqNum,StationCode,StationName,Address.City,Address.State,Address.Street,Address.Zip,Code,Lat,LineCode1,LineCode2,LineCode3,LineCode4,Lon,Name,StationTogether1,StationTogether2
0,0,BL,1,J03,Franconia-Springfield,Springfield,VA,6880 Frontier Drive,22150,J03,38.766129,BL,,,,-77.168797,Franconia-Springfield,,
1,18695,BL,2,J02,Van Dorn Street,Alexandria,VA,5690 Eisenhower Avenue,22310,J02,38.799193,BL,,,,-77.129407,Van Dorn Street,,
2,20158,BL,3,C13,King St-Old Town,Alexandria,VA,1900 King Street,22301,C13,38.806474,BL,YL,,,-77.061115,King St-Old Town,,
3,3453,BL,4,C12,Braddock Road,Alexandria,VA,700 N. West St.,22301,C12,38.814009,BL,YL,,,-77.053763,Braddock Road,,
4,16108,BL,5,C10,Ronald Reagan Washington National Airport,Arlington,VA,2400 S. Smith Blvd.,22202,C10,38.852985,BL,YL,,,-77.043805,Ronald Reagan Washington National Airport,,
5,2939,BL,6,C09,Crystal City,Arlington,VA,1750 South Clark St.,22202,C09,38.85779,BL,YL,,,-77.050589,Crystal City,,
6,4068,BL,7,C08,Pentagon City,Arlington,VA,1250 South Hayes St.,22202,C08,38.863045,BL,YL,,,-77.059507,Pentagon City,,
7,3216,BL,8,C07,Pentagon,Arlington,VA,2 South Rotary Road,22202,C07,38.869349,BL,YL,,,-77.054013,Pentagon,,
8,7036,BL,9,C06,Arlington Cemetery,Arlington,VA,1000 North Memorial Drive,22211,C06,38.884574,BL,,,,-77.063108,Arlington Cemetery,,
9,4936,BL,10,C05,Rosslyn,Arlington,VA,1850 N. Moore Street,22209,C05,38.896595,BL,OR,SV,,-77.07146,Rosslyn,,
10,6993,BL,11,C04,Foggy Bottom-GWU,Washington,DC,2301 I St. NW,20037,C04,38.900599,BL,OR,SV,,-77.050273,Foggy Bottom-GWU,,
11,2783,BL,12,C03,Farragut West,Washington,DC,900 18th St. NW,20006,C03,38.901311,BL,OR,SV,,-77.03981,Farragut West,,
12,2001,BL,13,C02,McPherson Square,Washington,DC,1400 I St. NW,20005,C02,38.901316,BL,OR,SV,,-77.033652,McPherson Square,,
13,2359,BL,14,C01,Metro Center,Washington,DC,607 13th St. NW,20005,C01,38.898303,BL,OR,SV,,-77.028099,Metro Center,A01,
14,1561,BL,15,D01,Federal Triangle,Washington,DC,302 12th St. NW,20004,D01,38.893757,BL,OR,SV,,-77.028218,Federal Triangle,,
15,2016,BL,16,D02,Smithsonian,Washington,DC,1200 Independence Avenue SW,20004,D02,38.888022,BL,OR,SV,,-77.028232,Smithsonian,,
16,2643,BL,17,D03,L'Enfant Plaza,Washington,DC,600 Maryland Avenue SW,20024,D03,38.884775,BL,OR,SV,,-77.021964,L'Enfant Plaza,F03,
17,1757,BL,18,D04,Federal Center SW,Washington,DC,401 3rd Street SW,20024,D04,38.884958,BL,OR,SV,,-77.01586,Federal Center SW,,
18,3052,BL,19,D05,Capitol South,Washington,DC,355 First Street SE,20003,D05,38.884968,BL,OR,SV,,-77.005137,Capitol South,,
19,2703,BL,20,D06,Eastern Market,Washington,DC,701 Pennsylvania Avenue SE,20003,D06,38.884124,BL,OR,SV,,-76.995334,Eastern Market,,
20,3289,BL,21,D07,Potomac Ave,Washington,DC,700 14th Street SE,20003,D07,38.880841,BL,OR,SV,,-76.985721,Potomac Ave,,
21,3750,BL,22,D08,Stadium-Armory,Washington,DC,192 19th St. SE,20003,D08,38.88594,BL,OR,SV,,-76.977485,Stadium-Armory,,
22,12162,BL,23,G01,Benning Road,Washington,DC,4500 Benning Road,20019,G01,38.890488,BL,SV,,,-76.938291,Benning Road,,
23,7779,BL,24,G02,Capitol Heights,Capitol Heights,MD,133 Central Avenue,20743,G02,38.889757,BL,SV,,,-76.913382,Capitol Heights,,
24,5215,BL,25,G03,Addison Road-Seat Pleasant,Capitol Heights,MD,100 Addison Road S.,20743,G03,38.886713,BL,SV,,,-76.893592,Addison Road-Seat Pleasant,,
25,7960,BL,26,G04,Morgan Boulevard,Landover,MD,300 Garrett Morgan Blvd.,20785,G04,38.8913,BL,SV,,,-76.8682,Morgan Boulevard,,
26,7256,BL,27,G05,Largo Town Center,Largo,MD,Largo Town Center 9000 Lottsford Road,20774,G05,38.9008,BL,SV,,,-76.8449,Largo Town Center,,
27,0,GR,1,F11,Branch Ave,Suitland,MD,4704 Old Soper Road,20746,F11,38.826995,GR,,,,-76.912134,Branch Ave,,
28,9144,GR,2,F10,Suitland,Suitland,MD,4500 Silver Hill Road,20746,F10,38.843891,GR,,,,-76.932022,Suitland,,
29,7658,GR,3,F09,Naylor Road,Temple Hills,MD,3101 Branch Avenue,20748,F09,38.851187,GR,,,,-76.956565,Naylor Road,,
30,6612,GR,4,F08,Southern Avenue,Temple Hills,MD,1411 Southern Avenue,20748,F08,38.840974,GR,,,,-76.97536,Southern Avenue,,
31,5508,GR,5,F07,Congress Heights,Washington,DC,1290 Alabama Avenue SE,20020,F07,38.845334,GR,,,,-76.98817,Congress Heights,,
32,6851,GR,6,F06,Anacostia,Washington,DC,1101 Howard Road SE,20020,F06,38.862072,GR,,,,-76.995648,Anacostia,,
33,6254,GR,7,F05,Navy Yard-Ballpark,Washington,DC,200 M Street SE,20003,F05,38.876588,GR,,,,-77.005086,Navy Yard-Ballpark,,
34,3326,GR,8,F04,Waterfront,Washington,DC,399 M Street SW,20024,F04,38.876221,GR,,,,-77.017491,Waterfront,,
35,4158,GR,9,F03,L'Enfant Plaza,Washington,DC,600 Maryland Avenue SW,20024,F03,38.884775,GR,YL,,,-77.021964,L'Enfant Plaza,D03,
36,2950,GR,10,F02,Archives-Navy Memorial-Penn Quarter,Washington,DC,701 Pennsylvania Avenue NW,20004,F02,38.893893,GR,YL,,,-77.021902,Archives-Navy Memorial-Penn Quarter,,
37,1879,GR,11,F01,Gallery Pl-Chinatown,Washington,DC,630 H St. NW,20001,F01,38.89834,GR,YL,,,-77.021851,Gallery Pl-Chinatown,B01,
38,2985,GR,12,E01,Mt Vernon Sq 7th St-Convention Center,Washington,DC,700 M St. NW,20001,E01,38.905604,GR,YL,,,-77.022256,Mt Vernon Sq 7th St-Convention Center,,
39,2527,GR,13,E02,Shaw-Howard U,Washington,DC,1701 8th St. NW,20001,E02,38.912919,GR,YL,,,-77.022194,Shaw-Howard U,,
40,2555,GR,14,E03,U Street/African-Amer Civil War Memorial/Cardozo,Washington,DC,1240 U Street NW,20009,E03,38.916489,GR,YL,,,-77.028938,U Street/African-Amer Civil War Memorial/Cardozo,,
41,4715,GR,15,E04,Columbia Heights,Washington,DC,3030 14th St. NW,20009,E04,38.928672,GR,YL,,,-77.032775,Columbia Heights,,
42,4717,GR,16,E05,Georgia Ave-Petworth,Washington,DC,3700 Georgia Avenue NW,20010,E05,38.936077,GR,YL,,,-77.024728,Georgia Ave-Petworth,,
43,8348,GR,17,E06,Fort Totten,Washington,DC,550 Galloway Street NE,20011,E06,38.951777,GR,YL,,,-77.002174,Fort Totten,B06,
44,10406,GR,18,E07,West Hyattsville,Hyattsville,MD,2700 Hamilton St.,20782,E07,38.954931,GR,,,,-76.969881,West Hyattsville,,
45,6670,GR,19,E08,Prince George's Plaza,Hyattsville,MD,3575 East West Highway,20782,E08,38.965276,GR,,,,-76.956182,Prince George's Plaza,,
46,10368,GR,20,E09,College Park-U of MD,College Park,MD,4931 Calvert Road,20740,E09,38.978523,GR,,,,-76.928432,College Park-U of MD,,
47,12981,GR,21,E10,Greenbelt,Greenbelt,MD,5717 Greenbelt Metro Drive,20740,E10,39.011036,GR,,,,-76.911362,Greenbelt,,
